,2009/1/23,2009/2/27,2009/3/31,2009/4/30,2009/5/27,2009/6/30,2009/7/31,2009/8/31,2009/9/30,2009/10/30,2009/11/30,2009/12/31,2010/1/29,2010/2/26,2010/3/31,2010/4/30,2010/5/31,2010/6/30,2010/7/30,2010/8/31,2010/9/30,2010/10/29,2010/11/30,2010/12/31,2011/1/31,2011/2/28,2011/3/31,2011/4/29,2011/5/31,2011/6/30,2011/7/29,2011/8/31,2011/9/30,2011/10/31,2011/11/30,2011/12/30,2012/1/31,2012/2/29,2012/3/30,2012/4/27,2012/5/31,2012/6/29,2012/7/31,2012/8/31,2012/9/28,2012/10/31,2012/11/30,2012/12/31,2013/1/31,2013/2/28,2013/3/29,2013/4/26,2013/5/31,2013/6/28,2013/7/31,2013/8/30,2013/9/30,2013/10/31,2013/11/29,2013/12/31,2014/1/30,2014/2/28,2014/3/31,2014/4/30,2014/5/30,2014/6/30,2014/7/31,2014/8/29,2014/9/30,2014/10/31,2014/11/28,2014/12/31,2015/1/30,2015/2/27,2015/3/31,2015/4/30,2015/5/29,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/29,2016/2/29,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/26,2017/2/28,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/29,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/28,2018/3/30,2018/4/27,2018/5/31,2018/6/29,2018/7/31,2018/8/31,2018/9/28,2018/10/31,2018/11/30,2018/12/28,2019/1/31,2019/2/28,2019/3/29,2019/4/30,2019/5/31,2019/6/28,2019/7/31,2019/8/30,2019/9/30,2019/10/31,2019/11/29,2019/12/31
000028.SZ,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药,医药
000029.SZ,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产
000030.SZ,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车,汽车
000031.SZ,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产
000032.SZ,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信
000033.SZ,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务,消费者服务
000034.SZ,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,综合,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,农林牧渔,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,计算机,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,计算机,计算机,计算机,计算机,计算机,计算机
000035.SZ,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,通信,电力设备及新能源,电力设备及新能源,电力设备及新能源,电力设备及新能源,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业
000036.SZ,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产,房地产
000037.SZ,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业,电力及公用事业
